Time [s],Value,Parity Error,Framing Error
15.4689450000,0x32,,
15.4700900000,0x2A,,
15.4712350000,0x1A,,
15.4723800000,0x3A,,
15.4735250000,0x3A,,
15.4746700000,0x16,,
15.4758150000,0x8E,,
15.4769600000,0x16,,
15.4781050000,0xE2,,Error
15.4792500000,0x06,,
15.4803950000,0x00,,Error
15.7190450000,0x98,,Error
15.7208150000,0x16,,
15.7219600000,0xF2,,
15.7231050000,0x16,,
15.7242500000,0xC6,,
15.7253950000,0x16,,
15.7265400000,0xE6,,
15.7276850000,0x16,,
15.7288300000,0xFA,,Error
15.7299750000,0xB2,,Error
15.7311200000,0x76,,Error
15.7322650000,0x76,,Error
15.7334100000,0x3E,,
15.7345550000,0x1A,,
15.7357000000,0x3E,,
15.7368450000,0x32,,
15.7379850000,0x2A,,
15.7391300000,0x1A,,
15.7402750000,0x3A,,
15.7414200000,0x3A,,
15.7425650000,0x16,,
15.7437100000,0x86,,
15.7448550000,0x16,,
15.7460000000,0xE2,,Error
15.7471450000,0x06,,
15.7482900000,0x00,,Error
15.9767400000,0x98,,Error
15.9785100000,0x16,,
15.9796550000,0xF2,,
15.9808000000,0x16,,
15.9819450000,0xC6,,
15.9830900000,0x16,,
15.9842350000,0xE6,,
15.9853800000,0x16,,
15.9865250000,0xFA,,Error
15.9876700000,0xB2,,Error
15.9888150000,0x76,,Error
15.9899600000,0x76,,Error
15.9911050000,0x3E,,
15.9922450000,0x1A,,
15.9933900000,0x22,,
15.9945350000,0x32,,
15.9956800000,0x2A,,
15.9968250000,0x1A,,
15.9979700000,0x3A,,
15.9991150000,0x3A,,
16.0002600000,0x16,,
16.0014050000,0x9A,,
16.0025500000,0x16,,
16.0036950000,0xE2,,Error
16.0048400000,0x06,,
16.0059850000,0x00,,Error
16.2446350000,0x98,,Error
16.2464050000,0x16,,
16.2475500000,0xF2,,
16.2486950000,0x16,,
16.2498400000,0xC6,,
16.2509850000,0x16,,
16.2521300000,0xE6,,
16.2532750000,0x16,,
16.2544200000,0xFA,,Error
16.2555650000,0xB2,,Error
16.2567100000,0x76,,Error
16.2578550000,0x76,,Error
16.2590000000,0x3A,,
16.2601400000,0x3E,,
16.2612850000,0x2E,,
16.2624300000,0x32,,
16.2635750000,0x2A,,
16.2647200000,0x1A,,
16.2658650000,0x3A,,
16.2670100000,0x3A,,
16.2681550000,0x16,,
16.2693000000,0xB6,,
16.2704450000,0x16,,
16.2715900000,0xE2,,Error
16.2727350000,0x06,,
16.2738800000,0x00,,Error
16.5125150000,0x98,,Error
16.5142850000,0x16,,
16.5154300000,0xF2,,
16.5165750000,0x16,,
16.5177200000,0xC6,,
16.5188650000,0x16,,
16.5200100000,0xE6,,
16.5211550000,0x16,,
16.5223000000,0xFA,,Error
16.5234450000,0xB2,,Error
16.5245900000,0x76,,Error
16.5257350000,0x76,,Error
16.5268800000,0x3A,,
16.5280200000,0x3A,,
16.5291650000,0x3A,,
16.5303100000,0x32,,
16.5314550000,0x2A,,
16.5326000000,0x1A,,
16.5337450000,0x3A,,
16.5348900000,0x3A,,
16.5360350000,0x16,,
16.5371800000,0xA6,,
16.5383250000,0x16,,
16.5394700000,0xE2,,Error
16.5406150000,0x06,,
16.5417600000,0x00,,Error
16.7804050000,0x98,,Error
16.7821700000,0x16,,
16.7833150000,0xF2,,
16.7844600000,0x16,,
16.7856050000,0xC6,,
16.7867500000,0x16,,
16.7878950000,0xE6,,
16.7890400000,0x16,,
16.7901850000,0xFA,,Error
16.7913300000,0xB2,,Error
16.7924750000,0x76,,Error
16.7936200000,0x76,,Error
16.7947650000,0x3A,,
16.7959100000,0x3A,,
16.7970550000,0x1A,,
16.7982000000,0x32,,
16.7993450000,0x2A,,
16.8004900000,0x1A,,
16.8016350000,0x3A,,
16.8027800000,0x3A,,
16.8039250000,0x16,,
16.8050700000,0x86,,
16.8062100000,0x16,,
16.8073550000,0xE2,,Error
16.8085000000,0x06,,
16.8096450000,0x00,,Error
17.0381000000,0x98,,Error
17.0398700000,0x16,,
17.0410150000,0xF2,,
17.0421600000,0x16,,
17.0433000000,0xC6,,
17.0444450000,0x16,,
17.0455900000,0xE6,,
17.0467350000,0x16,,
17.0478800000,0xFA,,Error
17.0490250000,0xB2,,Error
17.0501700000,0x76,,Error
17.0513150000,0x76,,Error
17.0524600000,0x3A,,
17.0536050000,0x36,,
17.0547500000,0x2A,,
17.0558950000,0x32,,
17.0570400000,0x2A,,
17.0581850000,0x1A,,
17.0593300000,0x3A,,
17.0604750000,0x3A,,
17.0616200000,0x16,,
17.0627650000,0xBA,,
17.0639100000,0x16,,
17.0650550000,0xE2,,Error
17.0662000000,0x06,,
17.0673450000,0x00,,Error
17.3060950000,0x98,,Error
17.3078650000,0x16,,
17.3090100000,0xF2,,
17.3101550000,0x16,,
17.3113000000,0xC6,,
17.3124450000,0x16,,
17.3135900000,0xE6,,
17.3147350000,0x16,,
17.3158800000,0xFA,,Error
17.3170250000,0xB2,,Error
17.3181700000,0x76,,Error
17.3193150000,0x76,,Error
17.3204600000,0x3A,,
17.3216000000,0x32,,
17.3227450000,0x32,,
17.3238900000,0x32,,
17.3250350000,0x2A,,
17.3261800000,0x1A,,
17.3273250000,0x3A,,
17.3284700000,0x3A,,
17.3296150000,0x16,,
17.3307600000,0xA6,,
17.3319050000,0x16,,
17.3330500000,0xE2,,Error
17.3341950000,0x06,,
17.3353400000,0x00,,Error
17.5740900000,0x98,,Error
17.5758600000,0x16,,
17.5770050000,0xF2,,
17.5781500000,0x16,,
17.5792950000,0xC6,,
17.5804400000,0x16,,
17.5815850000,0xE6,,
17.5827300000,0x16,,
17.5838750000,0xFA,,Error
17.5850200000,0xB2,,Error
17.5861650000,0x76,,Error
17.5873100000,0x76,,Error
17.5884550000,0x3A,,
17.5895950000,0x2E,,
17.5907400000,0x3E,,
17.5918850000,0x32,,
17.5930300000,0x2A,,
17.5941750000,0x1A,,
17.5953200000,0x3A,,
17.5964650000,0x3A,,
17.5976100000,0x16,,
17.5987550000,0xB6,,
17.5999000000,0x16,,
17.6010450000,0xE2,,Error
17.6021900000,0x06,,
17.6033350000,0x00,,Error
17.8419800000,0x98,,Error
17.8437450000,0x16,,
17.8448900000,0xF2,,
17.8460350000,0x16,,
17.8471800000,0xC6,,
17.8483250000,0x16,,
17.8494700000,0xE6,,
17.8506150000,0x16,,
17.8517600000,0xFA,,Error
17.8529050000,0xB2,,Error
17.8540500000,0x76,,Error
17.8551950000,0x76,,Error
17.8563400000,0x3A,,
